"X.1","X","addr_state","YearBefore","loan_amnt","term","int_rate","installment","grade","home_ownership","annual_inc","verification_status","issue_d","loan_status","purpose","dti","earliest_cr_line","open_acc","pub_rec","total_acc","initial_list_status","application_type","GeoName","Compensation.of.employees","Gross.operating.surplus","Per.capita.real.GDP.by.state","Quantity.indexes.for.real.GDP.by.state","Real.GDP.by.state","Subsidies","Taxes.on.production.and.imports","regions"
570987,571076,"NY",2012,15000," 36 months",17.77,540.56,"D","MORTGAGE",0.6841727,"Verified","2013-04-01","Defaulted","credit_card",23.05,"2001-11-01",12,1,21,"f","INDIVIDUAL","New York",389,325,426,254,40,284,455,"Northeast"
313365,313415,"IL",2013,13700," 60 months",20.99,370.56,"E","RENT",0.6686429,"Verified","2014-10-01","Defaulted","debt_consolidation",20.56,"1998-07-01",13,1,22,"w","INDIVIDUAL","Illinois",306,238,350,194,408,197,349,"Midwest"
848189,848309,"WA",2011,11400," 36 months",11.14,373.98,"B","RENT",0.670361,"Not Verified","2012-09-01","Defaulted","credit_card",23.48,"2000-06-01",9,0,27,"f","INDIVIDUAL","Washington",139,72,359,105,237,98,223,"West"
847426,847546,"WA",2009,11200," 60 months",17.93,283.99,"E","MORTGAGE",0.6588875,"Verified","2010-07-01","Defaulted","debt_consolidation",9.47,"2004-03-01",11,0,13,"f","INDIVIDUAL","Washington",129,65,357,1,229,101,196,"West"
44291,44301,"CA",2010,6000," 36 months",14.79,207.38,"C","RENT",0.6586125,"Source Verified","2011-07-01","Defaulted","credit_card",19.07,"2005-05-01",4,0,4,"f","INDIVIDUAL","California",2,399,347,44,113,382,53,"West"
643582,643676,"OH",2013,7750," 36 months",23.4,301.62,"E","MORTGAGE",0.6405875,"Verified","2014-01-01","Defaulted","home_improvement",12.46,"2003-12-01",5,0,7,"f","INDIVIDUAL","Ohio",260,179,221,291,353,111,281,"Midwest"
53100,53115,"CA",2011,19750," 36 months",13.11,666.51,"B","RENT",0.6720027,"Source Verified","2012-08-01","Defaulted","debt_consolidation",18.6,"1999-12-01",12,0,25,"f","INDIVIDUAL","California",14,401,353,96,114,375,59,"West"
15775,15781,"AR",2013,12000," 36 months",12.99,404.27,"C","OWN",0.6792599,"Not Verified","2014-06-01","Defaulted","credit_card",7.6,"2000-03-01",8,0,14,"f","INDIVIDUAL","Arkansas",359,299,45,275,12,249,432,"South"
126064,126093,"CA",2014,35000," 36 months",13.66,1190.45,"C","OWN",0.6923481,"Verified","2015-01-01","Defaulted","debt_consolidation",25.34,"1995-03-01",17,0,29,"f","INDIVIDUAL","California",24,450,393,309,129,361,74,"West"
306562,306610,"IL",2012,12000," 36 months",12.12,399.26,"B","RENT",0.6677529,"Verified","2013-02-01","Defaulted","debt_consolidation",17.16,"1990-05-01",9,0,13,"w","INDIVIDUAL","Illinois",304,233,355,201,410,177,346,"Midwest"
70843,70859,"CA",2012,16100," 36 months",17.77,580.2,"D","RENT",0.6853026,"Not Verified","2013-03-01","Defaulted","debt_consolidation",8.07,"2005-06-01",6,0,15,"w","INDIVIDUAL","California",17,409,373,205,119,358,58,"West"
511574,511657,"NJ",2011,10000," 36 months",14.65,344.95,"C","RENT",0.6574448,"Not Verified","2012-03-01","Defaulted","debt_consolidation",19.27,"1984-04-01",13,0,30,"f","INDIVIDUAL","New Jersey",226,126,383,391,314,134,315,"Northeast"
189457,189489,"CT",2010,13200," 60 months",14.27,309,"C","MORTGAGE",0.6629523,"Verified","2011-10-01","Defaulted","debt_consolidation",5.19,"2000-01-01",8,0,21,"f","INDIVIDUAL","Connecticut",23,453,437,389,135,306,78,"Northeast"
559321,559410,"NY",2009,17000," 60 months",9.62,358.03,"B","MORTGAGE",0.7057937,"Not Verified","2010-12-01","Defaulted","home_improvement",7.35,"1996-12-01",14,0,38,"f","INDIVIDUAL","New York",366,298,403,1,20,279,429,"Northeast"
53337,53352,"CA",2011,5000," 36 months",7.9,156.46,"A","RENT",0.69897,"Not Verified","2012-02-01","Defaulted","debt_consolidation",11,"2003-06-01",8,0,14,"f","INDIVIDUAL","California",14,401,353,96,114,375,59,"West"
214434,214473,"FL",2012,4000," 36 months",15.61,139.86,"C","RENT",0.6853026,"Source Verified","2013-11-01","Defaulted","Others",2.23,"2007-11-01",3,0,7,"f","INDIVIDUAL","Florida",320,236,69,37,422,160,385,"South"
336879,336930,"IN",2012,16000," 36 months",14.09,547.55,"B","MORTGAGE",0.6743352,"Not Verified","2013-04-01","Defaulted","credit_card",10.17,"1992-01-01",10,1,20,"w","INDIVIDUAL","Indiana",88,47,176,258,207,4,117,"Midwest"
480882,480963,"NC",2012,9500," 36 months",12.99,320.05,"B","OWN",0.6509989,"Source Verified","2013-11-01","Defaulted","debt_consolidation",23.07,"2002-01-01",14,0,31,"f","INDIVIDUAL","North Carolina",183,121,162,69,288,70,235,"South"
357885,357940,"KY",2012,20000," 36 months",8.9,635.07,"A","RENT",0.6945517,"Not Verified","2013-01-01","Defaulted","debt_consolidation",28.7,"2003-11-01",14,0,20,"w","INDIVIDUAL","Kentucky",454,369,83,244,87,265,54,"South"
406350,406416,"MD",2013,20450," 60 months",19.52,536.36,"E","RENT",0.6772304,"Source Verified","2014-10-01","Defaulted","debt_consolidation",16.46,"1988-09-01",7,0,25,"w","INDIVIDUAL","Maryland",134,49,376,216,222,40,147,"South"
40511,40518,"CA",2007,15000," 36 months",11.09,491.73,"C","RENT",0.6537093,"Not Verified","2008-01-01","Defaulted","debt_consolidation",4.8,"1998-07-01",7,0,25,"f","INDIVIDUAL","California",8,395,392,184,118,389,44,"West"
815614,815727,"UT",2013,20000," 60 months",21.99,552.27,"E","MORTGAGE",0.6792599,"Source Verified","2014-03-01","Defaulted","debt_consolidation",22.46,"1999-12-01",14,0,61,"f","INDIVIDUAL","Utah",400,332,157,280,39,210,411,"West"
233912,233953,"FL",2013,4500," 36 months",24.5,177.74,"F","MORTGAGE",0.60206,"Verified","2014-08-01","Defaulted","debt_consolidation",17.89,"2005-04-01",12,1,19,"f","INDIVIDUAL","Florida",324,248,78,107,423,155,389,"South"
420042,420113,"MI",2012,6250," 36 months",13.67,212.61,"B","RENT",0.6377321,"Not Verified","2013-10-01","Defaulted","debt_consolidation",24.71,"2002-08-01",6,0,13,"f","INDIVIDUAL","Michigan",185,78,120,298,272,46,226,"Midwest"
29827,29834,"AZ",2013,35000," 36 months",20.99,1318.45,"E","MORTGAGE",0.7008066,"Verified","2014-10-01","Defaulted","debt_consolidation",37.19,"1998-09-01",22,0,32,"w","INDIVIDUAL","Arizona",75,8,87,188,162,322,137,"West"
278308,278353,"GA",2013,35000," 60 months",24.08,1008.51,"F","MORTGAGE",0.6927957,"Verified","2014-10-01","Defaulted","small_business",17.2,"1989-09-01",8,1,14,"f","INDIVIDUAL","Georgia",196,130,158,183,300,54,207,"South"
453320,453396,"MN",2014,4200," 36 months",13.99,143.53,"C","MORTGAGE",0.7307993,"Source Verified","2015-05-01","Defaulted","debt_consolidation",19.76,"1993-09-01",15,0,23,"f","INDIVIDUAL","Minnesota",125,35,371,307,211,62,159,"Midwest"
638152,638245,"OH",2012,12000," 36 months",11.14,393.67,"B","MORTGAGE",0.6758116,"Not Verified","2013-01-01","Defaulted","credit_card",16.45,"2003-09-01",9,0,19,"f","INDIVIDUAL","Ohio",250,174,216,273,350,106,267,"Midwest"
315075,315125,"IL",2013,10000," 36 months",16.59,354.5,"D","RENT",0.6629523,"Verified","2014-04-01","Defaulted","Others",19.53,"1995-08-01",23,0,44,"w","INDIVIDUAL","Illinois",306,238,350,194,408,197,349,"Midwest"
442001,442077,"MN",2011,20000," 60 months",13.99,465.27,"C","MORTGAGE",0.6758116,"Verified","2012-03-01","Defaulted","small_business",9.05,"2005-07-01",10,0,22,"f","INDIVIDUAL","Minnesota",101,10,328,208,197,78,141,"Midwest"
265645,265687,"GA",2006,5100," 36 months",17.86,184.02,"G","MORTGAGE",0.6792599,"Not Verified","2007-09-01","Defaulted","debt_consolidation",5.3,"2005-09-01",3,0,4,"f","INDIVIDUAL","Georgia",157,99,266,235,305,22,193,"South"
720788,720893,"SC",2013,27200," 60 months",23.43,773.52,"F","OWN",0.682408,"Source Verified","2014-04-01","Defaulted","debt_consolidation",30.78,"1996-03-01",10,0,37,"w","INDIVIDUAL","South Carolina",6,370,42,226,94,251,55,"South"
100820,100845,"CA",2013,16225," 36 months",14.98,562.29,"C","RENT",0.6904699,"Verified","2014-01-01","Defaulted","debt_consolidation",29.48,"1992-07-01",11,0,45,"f","INDIVIDUAL","California",20,426,378,269,123,359,66,"West"
847369,847489,"WA",2009,5000," 36 months",16.07,175.97,"D","RENT",0.6414951,"Verified","2010-03-01","Defaulted","debt_consolidation",9.17,"1999-11-01",9,1,38,"f","INDIVIDUAL","Washington",129,65,357,1,229,101,196,"West"
852428,852548,"WA",2012,9600," 36 months",17.27,343.56,"C","OWN",0.6735741,"Source Verified","2013-06-01","Defaulted","small_business",9.35,"1993-05-01",4,0,7,"w","INDIVIDUAL","Washington",147,80,375,215,248,95,237,"West"
379773,379831,"MA",2012,18000," 60 months",20.8,484.94,"E","RENT",0.6677529,"Verified","2013-08-01","Defaulted","credit_card",8.17,"2000-01-01",15,0,19,"f","INDIVIDUAL","Massachusetts",198,97,421,267,289,117,162,"Northeast"
480754,480835,"NC",2012,16800," 36 months",13.67,571.5,"B","OWN",0.6686429,"Source Verified","2013-11-01","Defaulted","debt_consolidation",10.41,"1996-09-01",6,0,28,"f","INDIVIDUAL","North Carolina",183,121,162,69,288,70,235,"South"
271848,271892,"GA",2012,6250," 36 months",10.64,203.56,"B","RENT",0.6357815,"Verified","2013-07-01","Defaulted","debt_consolidation",16.43,"1982-08-01",9,0,29,"f","INDIVIDUAL","Georgia",189,116,154,128,292,63,204,"South"
21596,21603,"AZ",2011,5750," 36 months",13.67,195.61,"B","OWN",0.62077,"Source Verified","2012-06-01","Defaulted","major_purchase",14,"2003-08-01",5,0,12,"f","INDIVIDUAL","Arizona",46,442,86,73,146,336,132,"West"
397706,397765,"MD",2011,15000," 36 months",19.05,550.22,"D","MORTGAGE",0.6853026,"Not Verified","2012-10-01","Defaulted","debt_consolidation",18.62,"1999-10-01",13,0,32,"f","INDIVIDUAL","Maryland",128,45,382,204,219,50,131,"South"
871019,871139,"WI",2013,6500," 36 months",13.35,220.11,"C","RENT",0.6502215,"Not Verified","2014-10-01","Defaulted","debt_consolidation",28.61,"2005-07-01",8,0,14,"f","INDIVIDUAL","Wisconsin",100,4,235,248,180,399,150,"Midwest"
686515,686618,"PA",2012,30000," 60 months",17.56,754.65,"D","MORTGAGE",0.6936847,"Source Verified","2013-09-01","Defaulted","debt_consolidation",26.22,"1986-04-01",18,0,59,"f","INDIVIDUAL","Pennsylvania",281,205,275,219,380,148,306,"Northeast"
632819,632912,"OH",2009,3000," 36 months",14.35,103.05,"C","MORTGAGE",0.6474719,"Not Verified","2010-07-01","Defaulted","home_improvement",13.09,"2005-07-01",6,0,17,"f","INDIVIDUAL","Ohio",220,134,137,1,313,113,250,"Midwest"
635242,635335,"OH",2011,24000," 60 months",14.65,566.56,"C","MORTGAGE",0.6914187,"Verified","2012-05-01","Defaulted","credit_card",21.18,"1997-11-01",5,0,11,"f","INDIVIDUAL","Ohio",239,164,203,236,343,130,261,"Midwest"
470143,470222,"MO",2014,12000," 36 months",14.31,411.95,"C","RENT",0.6649473,"Verified","2015-01-01","Defaulted","debt_consolidation",28.54,"2001-02-01",6,0,24,"f","INDIVIDUAL","Missouri",98,23,159,109,174,2,96,"Midwest"
635881,635974,"OH",2012,11500," 36 months",14.33,394.89,"C","RENT",0.6566297,"Not Verified","2013-05-01","Defaulted","credit_card",9.93,"2008-03-01",9,1,9,"w","INDIVIDUAL","Ohio",250,174,216,273,350,106,267,"Midwest"
571433,571522,"NY",2012,6500," 36 months",20.8,244.23,"E","RENT",0.6495683,"Not Verified","2013-08-01","Defaulted","Others",5.89,"2000-08-01",6,0,13,"w","INDIVIDUAL","New York",389,325,426,254,40,284,455,"Northeast"
519286,519371,"NJ",2013,12000," 36 months",16.24,423.31,"C","RENT",0.6923427,"Verified","2014-02-01","Defaulted","debt_consolidation",27.4,"2003-04-01",11,0,35,"f","INDIVIDUAL","New Jersey",242,159,396,110,327,121,328,"Northeast"
111098,111125,"CA",2013,20000," 60 months",16.29,489.45,"D","MORTGAGE",0.7008066,"Source Verified","2014-07-01","Defaulted","debt_consolidation",6.64,"2000-09-01",5,0,37,"w","INDIVIDUAL","California",20,426,378,269,123,359,66,"West"
824625,824741,"VA",2012,6000," 36 months",13.11,202.49,"B","MORTGAGE",0.6792599,"Not Verified","2013-01-01","Defaulted","debt_consolidation",11.52,"2000-03-01",12,0,19,"f","INDIVIDUAL","Virginia",201,86,341,142,298,33,209,"South"
368666,368724,"LA",2013,19500," 60 months",15.61,470.18,"D","OWN",0.6662304,"Verified","2014-07-01","Defaulted","debt_consolidation",23.75,"1993-12-01",18,0,43,"w","INDIVIDUAL","Louisiana",18,22,196,348,120,289,89,"South"
405330,405394,"MD",2013,12700," 36 months",12.39,424.2,"C","RENT",0.6758116,"Not Verified","2014-12-01","Defaulted","debt_consolidation",7.09,"2004-10-01",8,1,16,"f","INDIVIDUAL","Maryland",134,49,376,216,222,40,147,"South"
666111,666207,"OK",2013,13475," 60 months",20.2,358.51,"E","RENT",0.6677529,"Verified","2014-10-01","Defaulted","debt_consolidation",25.87,"1993-05-01",10,0,22,"w","INDIVIDUAL","Oklahoma",433,403,177,320,84,273,38,"South"
277424,277469,"GA",2013,30375," 60 months",24.99,891.37,"F","MORTGAGE",0.6904699,"Verified","2014-06-01","Defaulted","debt_consolidation",12,"2001-08-01",8,0,13,"f","INDIVIDUAL","Georgia",196,130,158,183,300,54,207,"South"
99512,99537,"CA",2013,25000," 36 months",15.61,874.12,"C","RENT",0.6853026,"Verified","2014-04-01","Defaulted","debt_consolidation",11.08,"2004-11-01",6,0,8,"f","INDIVIDUAL","California",20,426,378,269,123,359,66,"West"
232275,232316,"FL",2013,8300," 36 months",12.99,279.62,"C","RENT",0.6735741,"Source Verified","2014-06-01","Defaulted","debt_consolidation",29.61,"1999-08-01",10,0,22,"f","INDIVIDUAL","Florida",324,248,78,107,423,155,389,"South"
674745,674844,"OR",2013,10900," 36 months",12.99,367.22,"C","RENT",0.6758116,"Not Verified","2014-09-01","Defaulted","debt_consolidation",22.23,"2000-03-01",10,0,20,"f","INDIVIDUAL","Oregon",459,412,284,190,108,297,442,"West"
459238,459314,"MO",2012,18825," 60 months",20.49,503.9,"E","MORTGAGE",0.6649473,"Verified","2013-06-01","Defaulted","debt_consolidation",19.91,"2000-08-01",9,1,14,"f","INDIVIDUAL","Missouri",77,5,146,29,159,390,85,"Midwest"
381291,381349,"MA",2012,15000," 36 months",12.99,505.34,"B","RENT",0.6879801,"Not Verified","2013-11-01","Defaulted","debt_consolidation",16.56,"2000-10-01",11,0,30,"f","INDIVIDUAL","Massachusetts",198,97,421,267,289,117,162,"Northeast"
517663,517747,"NJ",2013,3500," 36 months",11.67,115.7,"B","MORTGAGE",0.7025505,"Not Verified","2014-07-01","Defaulted","Others",8.43,"2003-11-01",15,0,25,"f","INDIVIDUAL","New Jersey",242,159,396,110,327,121,328,"Northeast"
882977,883098,"WY",2012,15000," 60 months",22.95,422.43,"F","MORTGAGE",0.6838845,"Verified","2013-05-01","Defaulted","debt_consolidation",24.12,"1990-08-01",11,0,23,"f","INDIVIDUAL","Wyoming",118,156,410,338,232,335,288,"West"
77832,77852,"CA",2012,10000," 60 months",21.6,273.92,"E","OWN",0.6649473,"Verified","2013-08-01","Defaulted","debt_consolidation",12.74,"2003-10-01",9,0,31,"f","INDIVIDUAL","California",17,409,373,205,119,358,58,"West"
479531,479612,"NC",2011,9000," 36 months",13.11,303.73,"B","RENT",0.6879801,"Source Verified","2012-05-01","Defaulted","home_improvement",3.63,"1997-01-01",7,0,15,"f","INDIVIDUAL","North Carolina",168,122,184,82,291,67,233,"South"
580836,580927,"NY",2013,14000," 36 months",14.99,485.25,"C","MORTGAGE",0.6941209,"Source Verified","2014-10-01","Defaulted","debt_consolidation",28.24,"1999-08-01",21,0,30,"w","INDIVIDUAL","New York",395,331,424,255,41,283,10,"Northeast"
171634,171666,"CO",2011,4000," 36 months",15.31,139.27,"C","RENT",0.660845,"Not Verified","2012-11-01","Defaulted","credit_card",19.27,"2000-04-01",11,0,41,"f","INDIVIDUAL","Colorado",59,11,307,72,156,385,113,"West"
664839,664935,"OK",2013,6500," 36 months",14.31,223.14,"C","RENT",0.6289225,"Verified","2014-12-01","Defaulted","credit_card",16.14,"2001-08-01",4,0,8,"f","INDIVIDUAL","Oklahoma",433,403,177,320,84,273,38,"South"
635505,635598,"OH",2012,4000," 36 months",16.2,141.03,"C","MORTGAGE",0.6537093,"Verified","2013-11-01","Defaulted","credit_card",11.78,"2001-06-01",15,1,21,"f","INDIVIDUAL","Ohio",250,174,216,273,350,106,267,"Midwest"
406430,406496,"MD",2013,10000," 36 months",19.47,368.95,"D","RENT",0.6449281,"Verified","2014-04-01","Defaulted","debt_consolidation",12.47,"2004-08-01",7,0,7,"w","INDIVIDUAL","Maryland",134,49,376,216,222,40,147,"South"
